2021-01-11 12:58:12	14.53,52.91,15.80,60.00,14.70,60.70,14.50,12.57,16.04,12.74,307,3
2021-01-11 12:58:28	14.51,52.57,15.80,60.00,14.70,60.70,14.50,12.57,16.51,12.74,283,3
2021-01-11 12:58:43	14.52,52.17,15.80,60.00,14.70,60.70,14.44,12.57,16.51,12.84,295,3
2021-01-11 12:58:59	14.52,53.05,15.80,60.00,14.70,60.90,14.50,12.67,16.51,12.74,310,3
2021-01-11 12:59:15	14.52,53.12,15.80,60.00,14.70,61.00,14.50,12.57,16.51,12.74,307,3
2021-01-11 12:59:31	14.52,52.53,15.80,60.00,14.70,60.90,14.44,12.57,16.04,12.84,283,3
2021-01-11 12:59:47	14.53,53.06,15.80,60.00,14.70,61.10,14.44,12.67,16.04,12.84,258,3
2021-01-11 13:00:03	14.53,52.96,15.80,60.00,14.70,61.20,14.50,12.67,16.04,12.74,273,3
2021-01-11 13:00:19	14.52,52.96,15.80,60.00,14.70,61.20,14.50,12.67,16.51,12.74,287,3
2021-01-11 13:00:35	14.52,52.99,15.80,60.00,14.70,61.20,14.50,12.67,16.04,12.74,305,3
2021-01-11 13:00:51	14.53,52.34,15.80,60.00,14.70,61.10,14.50,12.67,16.04,12.84,291,3
2021-01-11 13:01:07	14.53,53.03,15.80,60.00,14.70,61.00,14.50,12.67,16.51,12.84,301,3
2021-01-11 13:01:23	14.53,53.51,15.80,60.00,14.70,61.00,14.50,12.67,16.04,12.84,326,3
2021-01-11 13:01:39	14.53,53.26,15.80,60.00,14.70,61.10,14.50,12.57,16.04,12.74,332,3
2021-01-11 13:01:55	14.53,52.94,15.80,60.00,14.70,61.20,14.50,12.67,16.51,12.84,335,3
2021-01-11 13:02:11	14.53,52.66,15.80,60.00,14.70,61.10,14.50,12.67,16.04,12.84,344,3
2021-01-11 13:02:27	14.54,53.06,15.80,60.00,14.70,61.20,14.50,12.67,16.04,12.84,347,3
2021-01-11 13:02:43	14.54,52.95,15.80,60.00,14.70,61.20,14.50,12.67,16.51,12.84,349,3
2021-01-11 13:02:59	14.53,53.13,15.80,60.00,14.70,61.30,14.50,12.67,16.51,12.84,351,3
2021-01-11 13:03:15	14.54,53.22,15.80,60.00,14.70,61.20,14.50,12.67,16.51,12.84,352,3
2021-01-11 13:03:30	14.53,53.10,15.90,60.00,14.80,61.20,14.50,12.67,16.51,12.84,349,3
2021-01-11 13:03:46	14.53,52.93,15.80,60.00,14.80,61.30,14.50,12.67,16.51,12.84,347,3
2021-01-11 13:04:02	14.53,52.99,15.80,60.00,14.70,61.20,14.50,12.67,16.04,12.84,343,3
2021-01-11 13:04:18	14.54,52.73,15.80,60.00,14.80,61.30,14.50,12.67,16.04,12.84,345,3
2021-01-11 13:04:34	14.54,52.86,15.90,60.00,14.80,61.30,14.50,12.67,16.04,12.84,343,3
2021-01-11 13:04:50	14.55,53.19,15.90,60.00,14.70,61.30,14.50,12.67,16.51,12.84,339,3
